title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,schedule_type,salary,date_time,search_term,search_location,work_from_home,share_link,job_highlights,apply_options,paid_time_off,dental_coverage,health_insurance
C++ Software Engineer (High Frequency Trading),NJF Global Holdings Ltd,"New York, NY",LinkedIn,https://serpapi.com/searches/6851316adc74d0f0862332c3/images/4059a62009fcddcbb15a05669ab4d6be3ef5303c3fe46f9159e6694f6f67180e.gif,"['23 hours ago', '200K–300K a year', 'Full-time']","Our client, an established firm in high-frequency trading, is actively seeking L4/L5 C++ Engineers for their Core Trading Technology team. This is a significant opportunity for skilled engineers interested in ultra-low latency systems to architect and evolve proprietary trading infrastructure.

The Role

You'll be hands-on, key to designing and optimizing core trading infrastructure. You'll build high-performance, scalable systems, with a strong emphasis on ultra-low latency and deterministic performance. This requires strong C++ proficiency and a comprehensive understanding of computer science fundamentals to develop market making core technology that interacts with Central Limit Order Books (CLOB).

Key Responsibilities:
• Architecting, designing, and implementing trading algorithms and core infrastructure, focused on C++ performance and efficiency.
• Applying Mechanical Sympathy, including Cache Optimization, Memory Layout, SIMD, and Compiler Optimizations.
• Optimizing market-making technology for ultra-low latency.
• Solving complex concurrency, including Sequence Locks, Memory Barriers, and mitigating False Sharing.
• Building robust systems for Market Data, Direct Market Access (DMA), Network Optimization, and implementing Kernel Bypass techniques.
• Ensuring nanosecond precision with Time Synchronization.
• Embracing Test-Driven Development (TDD) and the Measure Everything / Profiling mindset for quality and performance.
• Developing, augmenting, and calibrating exchange simulators.
• Collaborating with quantitative researchers to explore high frequency alphas.

Qualifications:
• Bachelors degree in Computer Science.
• Strong C++ proficiency with proven experience delivering large-scale, high-performance software in Real-Time Systems.
• Comprehensive understanding of computer science fundamentals (data structures, algorithms, OS, architecture).
• Solid practical experience with performance optimization techniques.
• Strong background in concurrency and multithreading, memory models, primitives).
• Familiarity with network programming, low-level system calls, and kernel-level interactions.
• Experience in HFT is preferred but not required.

Methodology & Mindset:

Our client promotes Software Craftsmanship: Modular Design, Clean Code, Single Responsibility, High Cohesion, and Low Coupling. The ideal candidate embodies the KISS Principle, values Code Simplicity, and thrives where Measure Everything and Deterministic Performance are key principles.",eyJqb2JfdGl0bGUiOiJDKysgU29mdHdhcmUgRW5naW5lZXIgKEhpZ2ggRnJlcXVlbmN5IFRyYWRpbmcpIiwiY29tcGFueV9uYW1lIjoiTkpGIEdsb2JhbCBIb2xkaW5ncyBMdGQiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6IkxwWWhubWlyNS1vT2paX1dBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,23 hours ago,Full-time,200K–300K a year,2025-06-17 11:12:11.894792,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer | Core Data Sets | Experienced Hire,"Susquehanna International Group, LLP (SIG)","Bala Cynwyd, PA",Susquehanna International Group,https://serpapi.com/searches/6851316ce9639b0c409a5538/images/ea83bd1027ebb7a3b31dc9fd2a38c38d6de824a5718389f908bf6c5ca5b9f17e.gif,"['2 days ago', 'Full-time']","Overview

The Quant Core Data team is a new & fast-growing group of owned in the Quant Engineering & Data group. We produce the data for studies done by Quantitative Researchers & Strategists to steadily improve trading behavior and strategies. Primarily based in Philadelphia, we also build data flows used globally for our offices in Sydney & Dublin.

We are looking for a Python Developer to join our Quant Core Data team. In this role, you will work to grow and scale our historical data framework which is critical to our strategy development process.

Performance is key for the scale of data we work with. We’re looking for an engineer with significant Python experience who has a deep appreciation for performance.

If you hate being bogged down by slow deployment cycles and enjoy working with users who understand the technology that you build, we encourage you to apply!

In this role, you will:
• Design, develop, and scale our data framework with an eye for efficiency and robustness
• Build packages used exclusively by expert users to evolve our signal generation technology
• Have greenfield development opportunities to optimize existing tooling from scratch

What we're looking for
• At least 3+ years of experience in Python, developing software with strict performance requirements
• A deep appreciation for performance and benchmarking, including experience in large scale computing problems and performance trade-offs
• Strong systems fundamentals (virtual memory, numa, io, networking, etc.)
• Deep Linux knowledge
• Experience in Python data analysis and/or low level Python
• Strong understanding of data structures and algorithms
• Enthusiasm for working with data, especially large sets of data; good aesthetics for cleanliness and correctness in data
• Bachelor’s degree in Computer Science, Engineering, Mathematics or related discipline or its foreign equivalent; advanced degree is preferred

Nice to Have:
• Experience with C++
• Experience in HFT environment

About Susquehanna

Susquehanna is a global quantitative trading firm founded by a group of friends who share a passion for game theory and probabilistic thinking. We have incorporated this approach into our culture, where you will find relentless problem solvers within each of our core disciplines: Trading, Technology, and Quantitative Research. From offices around the world, our employees collaborate to make optimal decisions and are driven by the desire to achieve winning results together.

What we do

We are experts in trading essentially all listed financial products and asset classes, with a focus on derivatives trading. Through market making and market taking, we handle millions of trading transactions around the world every day, providing liquidity and ensuring competitive prices for buyers and sellers. While our presence in the market is broad, our trading desks are highly specialized, allowing for a deep understanding of unique drivers of each asset class.

If you're a recruiting agency and want to partner with us, please reach out to recruiting@sig.com. Any resume or referral submitted in the absence of a signed agreement will not be eligible for an agency fee.

#LI-DT1",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIHwgQ29yZSBEYXRhIFNldHMgfCBFeHBlcmllbmNlZCBIaXJlIiwiY29tcGFueV9uYW1lIjoiU3VzcXVlaGFubmEgSW50ZXJuYXRpb25hbCBHcm91cCwgTExQIChTSUcpIiwiYWRkcmVzc19jaXR5IjoiQmFsYSBDeW53eWQsIFBBIiwiaHRpZG9jaWQiOiJNRDZpTWl2Q0J1ZmsyYjJFQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,2 days ago,Full-time,,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
Quant Developer - High Performance Software Engineering,Squarepoint Capital,New York,Built In,,"['7 days ago', 'Full-time', 'Dental insurance', 'Health insurance']","Position Overview
• Help research and implement strategies & signals logics, backtesting and simulation, libraries, and processing frameworks.
• Develop tooling to analyze large data sets using advanced statistical methods to identify trading opportunities and to monitor impact of changes over time.
• Develop detailed understanding of the principals of markets operation and structure to effectively utilize domain knowledge in software design and development.

As a member of collaborative team, develop and maintain critical high-performance trading and signals logics and supporting infrastructure. Work side-by-side with quant researchers and traders, assisting in implementation of trading strategies and research projects. Collaborate with technology teams providing strategy & signals containers, as well as integration with general Squarepoint infrastructure. The candidate must be comfortable working in a fast-paced dynamic environment and be able to balance rapid tactical delivery with long term strategic work. The job involves driving cross-team initiatives and daily interaction with quant researchers and traders, thus good communication skills are a must. The candidate must have a strong work ethic, be enthusiastic to work on the bleeding edge of technology, and have the drive to push through complex initiatives. Attention to detail and defensive programming experience.
• Long-term design improvement and maximization of code reuse
• Assist quantitative researchers with technical aspects of trading strategies and signals, as well as other R&D work
• Contribute to strategic design and roadmap for high performance trading infrastructure
• Production support, primarily in L2 capacity; L1 support when working on specific strategy roll-out projects
• Work closely with other teams (feed handlers, order gateways, reference data) driving cross-team initiatives, including comprehensive latency monitoring, new markets and products rollouts, and others

Required Qualifications:
• Degree in Engineering, Computer Science or related subject; Masters or higher a plus
• 3+ years strong programming experience under Linux, at least 1 year in C++
• 2+ years’ experience working on high performance mission critical systems
• A team player with good communication skills and a preference for compromise
• Ability to balance tactical work with pursing long-term strategic objectives
• 2+ years experience working in trading floor environment, implementing fully automated trading strategies (execution or prop trading
• Experience in effective collaboration with quant researchers and traders, responsible for trading model design and operation; proven ability to:
• convert abstract requirements into concrete trading implementations and algorithms
• troubleshoot trading algorithm and systems issues across large complex distributed system
• Ability to debug complex issues under Linux (memory corruption & leaks, buffer overflows, etc)Experience developing market simulators a strong plus
• Familiarity with basics of listed capital markets and market microstructure (esp. equities and futures); advanced understanding a strong plus
• Basic statistics; advanced quantitative skills a plus, but not required
• GUI programming experience a plus
• Must be able to work well under pressure and tight deadlines
• Effective and professional communicator

Nice to have:
• Modern OO design and software engineering paradigms, especially rapid prototyping and fast iterative release cycle (RAD)
• Experience working on a global team
• Python, Q/kdb+
• Testing methodologies (unit tests, regression tests)
• Dev workflow – SVN, GIT, JIRA, Code Reviews, etc
• Grid & cluster tools (especially SLURM)

The minimum base salary for this role is $60,000 if located in New York. This expectation is based on available information at the time of posting. This role may be eligible for discretionary bonuses, which could constitute a significant portion of total compensation. This role may also be eligible for benefits, such as health, dental, and other wellness plans, as well as 401(k) contributions. Successful candidates’ compensation and benefits will be determined in consideration of various factors.

#LI-DNP",eyJqb2JfdGl0bGUiOiJRdWFudCBEZXZlbG9wZXIgLSBIaWdoIFBlcmZvcm1hbmNlIFNvZnR3YXJlIEVuZ2luZWVyaW5nIiwiY29tcGFueV9uYW1lIjoiU3F1YXJlcG9pbnQgQ2FwaXRhbCIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrIiwiaHRpZG9jaWQiOiJ3Z05MeTRaRjV1cFRfancwQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,7 days ago,Full-time,,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
Market Risk Software Engineer | G-Research,G-Research,"Stamford, CT",G-Research,https://serpapi.com/searches/6851316ce9639b0c409a5538/images/ea83bd1027ebb7a3e86c7cd4c96d1a28cbd551051a8a1a53048ba51a3c453e44.gif,"['11 hours ago', 'Full-time', 'No degree mentioned', 'Health insurance', 'Dental insurance', 'Paid time off']","Do you want to tackle the biggest questions in finance with near infinite compute power at your fingertips?

G-Research is a leading quantitative research and technology firm, with offices in London and Dallas.

We are proud to employ some of the best people in their field and to nurture their talent in a dynamic, flexible and highly stimulating culture where world-beating ideas are cultivated and rewarded.

This role is based in Stamford, Connecticut.

The role

We are committed to finding the world’s best Engineers and take the hiring of this type of talent very seriously. As a Risk Software Engineer you will support the build, implementation and ongoing development of the organizations in-house portfolio risk platform.

Working closely with other teams from across the business, including Market Risk Management, Quantitative Research and Financial Operations, the risk platform provides the organization with the capability to assess performance and risk. It is vital to continue those close relationships in order to understand the business context, challenges and help get the most out of the portfolio risk platform.

This role will suit an engineer who is looking to contribute to the operational success of a leading quantitative finance research firm by developing software to compute and visualize portfolio behavior to inform risk management.

Key responsibilities of the role include:
• Enabling a cloud-first architectural strategy for the Market Risk platform
• Creating batch data and real-time pipelines computing a wide variety of position and portfolio metrics
• Building microservices to expose large datasets in intuitive ways
• Diagnosing and resolving issues impacting a live automated trading environment

Who are we looking for?

The ideal candidate will have the following skills and experience:
• Proficiency in cloud platforms and containerization
• Experience of successfully implementing cloud re-architecture and migration projects
• Experience with at least one OO programming language, ideally C#, Scala or Java
• An appreciation of good software architecture, computer science fundamentals, data structures and CI/CD
• Experience building large scale equity, multi-asset risk management systems, with proven track record from inception to delivery.

Beneficial experience would include:
• Experience working within quantitative finance
• Experience with third-party quantitative and integration platform vendors, such as Barra, Axioma, Beacon, or Numerix
• Experience with front-end development such as Angular or React

Why should you apply?
• Market-leading compensation plus annual discretionary bonus
• Excellent paid time off allowance of 25 days
• Generous 401(k) plan
• Medical, Dental and Vision insurance
• Informal dress code and excellent work/life balance
• Parental leave
• Life and Accidental Death & Dismemberment (AD&D) insurance
• Substantial relocation allowance and support
• Great selection of office snacks, and hot and cold drinks
.",eyJqb2JfdGl0bGUiOiJNYXJrZXQgUmlzayBTb2Z0d2FyZSBFbmdpbmVlciB8IEctUmVzZWFyY2giLCJjb21wYW55X25hbWUiOiJHLVJlc2VhcmNoIiwiYWRkcmVzc19jaXR5IjoiU3RhbWZvcmQsIENUIiwiaHRpZG9jaWQiOiJvUHFMSUUzakh5bWRJQmsxQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,11 hours ago,Full-time,,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
Quantitative Developer,WorldQuant,"Greenwich, CT",ZipRecruiter,https://serpapi.com/searches/6851316ce9639b0c409a5538/images/ea83bd1027ebb7a37e41cde2abde6f708db2f7c02cd4070f4fef4959a2bc119c.gif,"['29 days ago', '150K–200K a year', 'Full-time', 'No degree mentioned', 'Dental insurance', 'Health insurance', 'Paid time off']","The Role: We are seeking an exceptionally talented Quant Developer to join our team. The job responsibilities include, but are not limited to, the following:
• Build and maintain tools and libraries for alpha research, portfolio constructions, risk management and post-trade analysis etc.
• Leverage the firm's infrastructure to build scalable solutions for backtesting and portfolio optimizations
• Work with PMs and Quant Strategists to learn and improve daily trading operations
• Support PMs and Quant Strategists in strategy research and development by applying cutting-edge machine learning and AI techniques

What You'll Bring:
• 1-3 years of quant developer / researcher experience either on the buy or sell side
• Proficient programming skills in Python, SQL required; C++ a bonus
• Proven experience in statistical modeling, machine learning and artificial intelligence
• Prior experience in index rebalance or start arb is preferred
• Working experience with common financial datasets / API including Bloomberg, Factset, etc. a plus

Our Benefits:
• Core Benefits: Fully paid medical and dental insurance for employees and dependents, flexible spending account, 401k, fully paid parental leave, generous PTO (paid time off) with unlimited sick days
• Perks: Employee discounts for gym memberships, wellness activities, healthy snacks, casual dress code
• Training: learning and development courses, speakers, team-building off-site
• Employee resource groups

WorldQuant is a total compensation organization where you will be eligible for a base salary, discretionary performance bonus, and benefits. The estimated salary range for this position is $150,000 to $200,000 which is specific to New York and may change in the future. When finalizing an offer we will take into consideration an individual's experience level and the qualifications they bring to the role to formulate a competitive total compensation package.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyIiwiY29tcGFueV9uYW1lIjoiV29ybGRRdWFudCIsImFkZHJlc3NfY2l0eSI6IkdyZWVud2ljaCwgQ1QiLCJodGlkb2NpZCI6Ii1mSmphd0Y5SHd3YzU2c2VBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,29 days ago,Full-time,150K–200K a year,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
Data Engineer (C++) | Quantitative Data & Studies | Experienced Hire,"Susquehanna International Group, LLP (SIG)","Bala Cynwyd, PA",Susquehanna International Group,https://serpapi.com/searches/6851316ce9639b0c409a5538/images/ea83bd1027ebb7a351321db374a431a71a9d9dfbdb79fa63c8ac201f3c525f83.gif,"['3 days ago', 'Full-time']","Overview

Susquehanna is seeking a Data Engineer to work with petabytes of historical market data on a cluster with thousands of cores. In this role, you will be working on a team responsible for managing the data pipeline in generating rich data sets used by Equity and Futures strategies. As a hybrid data engineer/software engineer, you are building tools that analyze large data sets which directly impact and optimize our trading behavior and results. This is a highly visible team that works with traders and quantitative research strategists to provide key information used in trading.

As a member of this team, you will:
• Work with historical tick-by-tick data for US Equities and Futures markets to create enriched data sets
• Generate reference/derived data used by trading strategies
• Optimize components across the data generation and data access pipeline
• Understand the market microstructure and the electronic trading protocols

What we're looking for
• MS or PHD in Computer Science, Engineering, Mathematics or related discipline or its foreign equivalent plus 5 years of progressive experience developing software and data systems, or advanced graduate work.
• Strong C++ programming skills
• Experience with the Python data science stack: NumPy, pandas etc.
• Experience with numeric data storage methodologies, e.g. hdf5
• Experience with processing of large and varied data sets
• Experience of working in a Linux environment preferred
• Strong interpersonal and communication skills for interacting with traders, quantitative analysts, and other software developers

#LI-DT1",eyJqb2JfdGl0bGUiOiJEYXRhIEVuZ2luZWVyIChDKyspIHwgUXVhbnRpdGF0aXZlIERhdGEgXHUwMDI2IFN0dWRpZXMgfCBFeHBlcmllbmNlZCBIaXJlIiwiY29tcGFueV9uYW1lIjoiU3VzcXVlaGFubmEgSW50ZXJuYXRpb25hbCBHcm91cCwgTExQIChTSUcpIiwiYWRkcmVzc19jaXR5IjoiQmFsYSBDeW53eWQsIFBBIiwiaHRpZG9jaWQiOiJZUWJ0OWFndjNTTnVyYlNqQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,3 days ago,Full-time,,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
SVP Senior Quantitative Engineer,Citi,New York,Taro,,"['5 days ago', '176,720–265,080 a year', 'Full-time', 'No degree mentioned']","Senior Quantitative Engineer role at Citi leading wholesale credit loss forecast library development, combining financial mathematics expertise with software engineering skills.",eyJqb2JfdGl0bGUiOiJTVlAgU2VuaW9yIFF1YW50aXRhdGl2ZSBFbmdpbmVlciIsImNvbXBhbnlfbmFtZSI6IkNpdGkiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yayIsImh0aWRvY2lkIjoiODQ4ZEFoNGIzY2htVTNfNUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,5 days ago,Full-time,"176,720–265,080 a year",2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
Junior Quantitative Engineer,Thurn Partners,"New York, NY",LinkedIn,https://serpapi.com/searches/6851316ce9639b0c409a5538/images/ea83bd1027ebb7a3e8f9a3c8398f054ad67d1bf292f310740cbdfe72124dfae2.gif,"['29 days ago', 'Full-time']","Company Insight:

Spun out from one of the oldest names in HFT Equities, one of the fastest-growing prop trading firms is looking to grow its multi-asset trading and research platform across North America and APAC. Their robust infrastructure has allowed them to identify fundamental value in global financial markets, combining scientific rigour with creative research to build cutting-edge trading strategies.

They are currently looking for a quantitative engineer to drive the backbone of their entire research process. You’ll play a critical role in running simulations, monitoring strategy performance, and continuously improving the team's research infrastructure.

Fluent or professional-level proficiency in Mandarin is required.

Principal Responsibilities:
• Implement and maintain strategy models, while improving strategy backtesting frameworks;
• Develop quantitative research toolchains;
• Maintain quantitative databases and develop strategy monitoring & risk analysis tools;
• Deploy strategy code and optimize execution logic.

Technical Skillset:
• Bachelor's degree or higher in Computer Science, Financial Engineering, or related technical fields;
• 1-3 years of professional programming experience in production environments;
• Proficient in C++ or Python programming languages;
• Familiarity with modern data engineering ecosystems is a plus;
• Prior experience handling financial data preferred;
• Quantitative research/trading experience preferred;
• Ability to think critically, rapidly, and rigorously;
• Effective communicator with a strong teamwork mindset;
• Self-motivated and thrives in fast-paced environments.

Pre-Application
• Please do not apply if you're looking for a contract or remote work.
• Please ensure you meet the required experience section prior to applying.
• Allow 1-5 working days for a response to any job enquiry.
• Your application is subject to our privacy policy, found here: https://www.thurnpartners.com/privacy-policy",eyJqb2JfdGl0bGUiOiJKdW5pb3IgUXVhbnRpdGF0aXZlIEVuZ2luZWVyIiwiY29tcGFueV9uYW1lIjoiVGh1cm4gUGFydG5lcnMiLCJhZGRyZXNzX2NpdHkiOiJOZXcgWW9yaywgTlkiLCJodGlkb2NpZCI6Im5mT2R1MldIQ1JMNzRfNEtBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,29 days ago,Full-time,,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
Senior Quantitative Developer,"Arrowstreet Capital, Limited Partnership","Boston, MA",Workday,https://serpapi.com/searches/6851316ce9639b0c409a5538/images/ea83bd1027ebb7a322016af08e8eff28210d25f129856b5cece2c5cc659c9edf.gif,"['14 days ago', 'Full-time']","Job Overview We are looking for an experienced Quant Developer with Python experience , to join our Research group. We are a collaborative, data-driven, intellectually rigorous team responsible for coming up with investment ideas, codifying those ideas into signals, back-testing the signals, and producing return, risk and trading cost forecasts based on the signals to drive trading decisions. We maintain a friendly, team-oriented environment and place a high value on professionalism, attitude and initiative. Our development team within Research is responsible for the tools, APIs, libraries and software engineering techniques to support faster generation, evaluation and productionization of investment ideas. As a Quantitative Developer, you will help build our next-generation Research data platform leveraging open-source, cloud and distributed computing technologies. You will work on high-impact projects that are quickly adopted and drive change across the team. Responsibilities: Writing and maintaining Python libraries that supports the investment research production processes Designing and creating software to enhance our data science technology stack Design and implement financial data APIs and numerical APIs Apply cloud and distributed computing technologies Implementing performance improvements in our data analysis and numerical programming code Running POCs to evaluate new technologies and libraries in the PyData ecosystem Working with software engineers to design feeds for new data sources from third-party vendors Propose and lead implementations of major components or features in our data science platform Mentor, train and provide technical guidance to junior team members in design and coding standards Other projects based on experience and interest. Qualifications: An undergraduate or graduate degree from an educational institution in computer science Strong analytical and problem solving skills Expert programming skills in Python, experience implementing production-grade Python code Experience in OOP paradigms, data structures, and numerical algorithms Data storage: RDBMS, S3, columnar databases, NOSQL databases Distributed computing: Spark, Dask, or HPC Understanding/interest in probability and statistics, including linear regression and time-series analysis Curiosity and a willingness to learn new technologies Interest in financial markets (prior experience not required) Excellent communication skills High energy and strong work ethic In addition, experience with any of the following would be valuable: Hadoop, Spark, Kafka, and related technologies Unix/Linux system tools and environment Basic familiarity with unit testing, continuous integration, DevOps, containerization Interactive data visualization and dashboards Arrowstreet Capital is a Boston-based systematic investment firm that manages global equity portfolios for institutional investors around the world. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, ancestry, genetic information, age, pregnancy, medical condition, disability, veteran or military status, marital status or any other characteristic protected by federal, state, or local law. Arrowstreet Capital is committed to working with and providing reasonable accommodations for qualified individuals with disabilities and disabled veterans. If you need a reasonable accommodation for any part of the employment process due to a disability, contact us to discuss the nature of your request and contact information. Arrowstreet Capital is a Boston-based systematic investment firm that manages global equity portfolios for institutional investors around the world. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, ancestry, genetic information, age, pregnancy, medical condition, disability, veteran or military status, marital status or any other characteristic protected by federal, state, or local law. Arrowstreet is an equal opportunity employer. Please click here for more information. Arrowstreet Capital is committed to working with and providing reasonable accommodations for qualified individuals with disabilities and disabled veterans. If you need a reasonable accommodation for any part of the employment process due to a disability, contact us to discuss the nature of your request and contact information.",eyJqb2JfdGl0bGUiOiJTZW5pb3IgUXVhbnRpdGF0aXZlIERldmVsb3BlciIsImNvbXBhbnlfbmFtZSI6IkFycm93c3RyZWV0IENhcGl0YWwsIExpbWl0ZWQgUGFydG5lcnNoaXAiLCJhZGRyZXNzX2NpdHkiOiJCb3N0b24sIE1BIiwiaHRpZG9jaWQiOiJKcFU4Y1NXNzJIM0xfRlJVQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,14 days ago,Full-time,,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
Quant Systems: Senior Linux Engineer (New York),The D. E. Shaw Group,"New York, NY",The D. E. Shaw Group,,"['2 days ago', 'Full-time']","The D. E. Shaw group seeks a senior systems engineer with extensive Linux experience to join its Quant Systems team. This is a hands-on technical role within an engineering team responsible for high-performance trading and research infrastructure. It offers the opportunity to be part of an inclusive, collaborative, and engaging working environment.",eyJqb2JfdGl0bGUiOiJRdWFudCBTeXN0ZW1zOiBTZW5pb3IgTGludXggRW5naW5lZXIgKE5ldyBZb3JrKSIsImNvbXBhbnlfbmFtZSI6IlRoZSBELiBFLiBTaGF3IEdyb3VwIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmssIE5ZIiwiaHRpZG9jaWQiOiJNWFk3bVNSeUdHcG80aEx2QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,2 days ago,Full-time,,2025-06-17 11:12:12.918079,Quantitative Software Engineer,"New York, United States",,,,,,,
"Quantitative Developer, Volatility",Millennium,New York,Taro,,"['11 days ago', '100K–200K a year', 'Full-time', 'No degree mentioned']","Quantitative Developer position at Millennium, focusing on volatility trading systems development using Python, requiring 3+ years of experience and offering $100K-$200K base salary in New York.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgRGV2ZWxvcGVyLCBWb2xhdGlsaXR5IiwiY29tcGFueV9uYW1lIjoiTWlsbGVubml1bSIsImFkZHJlc3NfY2l0eSI6Ik5ldyBZb3JrIiwiaHRpZG9jaWQiOiJ5YmNMWk5FWUxURHE3MHV2QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,11 days ago,Full-time,100K–200K a year,2025-06-17 11:12:14.999451,Quantitative Software Engineer,"New York, United States",,,,,,,
Software Engineer / Quant Research Developer - Trading Applications (Python/Java),Talener,"Greenwich, CT",LinkedIn,https://serpapi.com/searches/6851316d80c963d3f80c81bf/images/7b36250e8370d96fa9b9a94e0b9e9a7f08dbce1dcbe62f5ccc20170bc145dd49.gif,"['19 days ago', '30K–215K a year', 'Full-time', 'Health insurance', 'Dental insurance']","Our client is a prestigious, global investment firm that has been a leader in the industry for 20+ years. With a HQ in Greenwich, Connecticut, this firm has over 500 employees and manages more than $150B AUM for various institutional investors. They are seeking a mid-level / associate level software engineer to join their Portfolio implementation team where you will build front-office trading applications with Java and Python.

Job Title: Software Engineer / Quantitative Research Developer

Location: Office in Greenwich, CT (50min commute from Grand Central). This is a hybrid role, with an onsite requirement 2-3x per week.

Required Technology And Skills
• 3+ years of professional experience in software engineering, with demonstrated experience and expertise working with Java or Python
• Strong skills and experience working with SQL
• Experience and understanding of distributed systems, microservices, and cloud-based application development
• Eager, motivated, and interest in learning from senior engineers
• Great work ethic and ability to be a team player
• Experience or interest working in financial services / trading applications / Front-office applications

Additional Skills
• Degree in IT, Computer Science or STEM related field
• Experience supporting financial/trading and/or mission-critical applications

Salary Range: 150,000 – 170,000 base salary, plus $30,000 - $40,000 annual cash bonus (Total cash compensation $180,000 - $215,000). Compensation will be based on experience, level, and skills.

Benefits And Perks
• Great benefits (health/dental/vision, etc) and generous 401k plan
• Remote/Hybrid work environment
• Strong Work-life balance
• Opportunity to have high impact on a small team filled with great, highly talented individuals

If you are interested, please apply directly for immediate consideration or reach out to Andrew Zaloom at azaloom@Talener.com .",eyJqb2JfdGl0bGUiOiJTb2Z0d2FyZSBFbmdpbmVlciAvIFF1YW50IFJlc2VhcmNoIERldmVsb3BlciAtIFRyYWRpbmcgQXBwbGljYXRpb25zIChQeXRob24vSmF2YSkiLCJjb21wYW55X25hbWUiOiJUYWxlbmVyIiwiYWRkcmVzc19jaXR5IjoiR3JlZW53aWNoLCBDVCIsImh0aWRvY2lkIjoiTjFmUHBSd1N0YzZvdHpWWkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,19 days ago,Full-time,30K–215K a year,2025-06-17 11:12:14.999451,Quantitative Software Engineer,"New York, United States",,,,,,,
