title,company_name,location,via,thumbnail,extensions,description,job_id,posted_at,salary,schedule_type,date_time,search_term,search_location,work_from_home
Quantitative Trader – HFT Futures,Algo Capital Group,United States,LinkedIn,https://serpapi.com/searches/68512edfd868dde3b5579f68/images/9ff0a183fad9410ef5314428a17ffbe1bf71c3f14ec4a8d934173cbdd9b2eb61.gif,"['5 days ago', 'Full-time']","Quantitative Trader – High-Frequency Trading - Futures

A leading trading firm is seeking a High Frequency Futures Trader to join their hugely successful desk. You will have the opportunity to leverage advanced technology and pricing models to maximize profit.

Responsibilities
• Collaborate with expert analysts and researchers to implement profitable strategies
• Successfully manage risk to optimise profits
• Ensure strategies produce excellent return on capital
• Designing, developing and managing profitable systematic trading strategies in Futures (Sharpe 2+)

Qualifications
• Experience at a proprietary trading firm, bank, or hedge fund
• Previous experience working with languages such as C++ or Python
• Demonstrate excellent track record
• HFT and Futures background
• Proven experience in back testing, and developing strategies
• Excellent communication and collaboration abilities
• Bachelor’s degree required in related field, such as computer science, or economics

If you are looking to join a leading Trading Firm whilst leveraging advanced technology, then this is the role for you. For more information, please apply",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgVHJhZGVyIOKAkyBIRlQgRnV0dXJlcyIsImNvbXBhbnlfbmFtZSI6IkFsZ28gQ2FwaXRhbCBHcm91cCIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6ImcwV3Z5Q1JZZ1VzanJCdU5BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,5 days ago,,Full-time,2025-06-17 11:08:03.012352,Quantitative Trader,"New York, United States",
Quantitative Trading Lead Engineer - Vice President,Deutsche Bank,New York,Taro,https://serpapi.com/searches/68512edfd868dde3b5579f68/images/9ff0a183fad9410e899ec38eb839bf759b25233b4711bb6edd57b9b7f271189d.gif,"['25 days ago', '150K–230K a year', 'Full-time', 'No degree mentioned']","Lead Engineer position at Deutsche Bank focusing on quantitative trading systems development, offering competitive salary and comprehensive benefits in New York.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgVHJhZGluZyBMZWFkIEVuZ2luZWVyIC0gVmljZSBQcmVzaWRlbnQiLCJjb21wYW55X25hbWUiOiJEZXV0c2NoZSBCYW5rIiwiYWRkcmVzc19jaXR5IjoiTmV3IFlvcmsiLCJodGlkb2NpZCI6IlFVMGIyNV9OajdOMGRZTl9BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,25 days ago,150K–230K a year,Full-time,2025-06-17 11:08:03.012352,Quantitative Trader,"New York, United States",
Experienced Quantitative Trader – Delta One Strategies,Belvedere Trading,"Chicago, IL",Lever,https://serpapi.com/searches/68512edfd868dde3b5579f68/images/9ff0a183fad9410eac2d1c21dff6bde2d8574ba1c3b05ba3e1408623fda548bc.gif,"['20 days ago', 'Full-time']","Belvedere Trading is a leading proprietary trading firm. We are a team driven by intellectual curiosity, seeking answers that will change not only how we trade in this technological age, but also the future landscape of the trading industry.

Our traders provide liquidity to the market through their market-making activities and are the masters of a diverse set of commodities, interest rates, exchange-traded funds (ETF), and equity index options. Traders partner with our technologists to continually engineer and optimize our trading systems to stay on top of the industry.

We are currently seeking an experienced Quantitative Trader to join our dynamic team. As a Quantitative Trader at Belvedere Trading, you will have the opportunity to build and operate trading strategies. Our traders work in a team environment, collaborating with software engineers and quantitative researchers to ensure optimal performance. The ideal candidate will have a proven track record of designing and executing an automated trading strategy around delta one signals. An understanding of options market-making systems is a plus.

What you'll do
• Develop, maintain, and enhance trading models, algorithms, and systems
• Research new market opportunities
• Collaborate with quants and software engineers to set up execution processes in various markets
• Utilize Belvedere’s cutting-edge proprietary software designed by our technology team to optimize trade selections and execution
• Apply a data-driven approach to trading
• Use trading metrics and data analysis to identify market inefficiencies, streamline trading systems, and improve risk management techniques
• Continuously contribute to the team’s investment strategies

What you'll need
• Experience in electronic market making with the ability, passion, and drive to build successful trading investment strategies
• Strong quantitative skills with a proficiency in probability and statistics
• An ability to apply quantitative skills and logical reasoning to solve complex problems
• Experience in computer programming is desirable (Python, C/C++, MATLAB, SQL)
• Proven ability to perform successfully in a fast-paced, collaborative environment
• Excellent written and verbal communication skills
• A desire to continuously learn and proactively improve processes
• Bachelor's or master’s level degree in computer science, statistics, applied mathematics, engineering, or other quantitative disciplines

$150,000 - $200,000 a year
Additionally, certain positions at Belvedere Trading are eligible for discretionary bonuses. Our employees have access to a variety of benefits, which can be found on our website here.

How We Operate - Core Values

Team Belvedere: Work seamlessly with others to achieve shared goals. Foster a positive and supportive environment that brings out the best in your teammates.

Me in Team: Focus on competing and succeeding at the highest level, constantly striving for excellence.

Own It: Actively address challenges and make decisions that drive positive results, taking ownership of both successes and failures.

Build Rockets: Bring forward bold, creative ideas and solutions. Be open to experimentation and willing to take calculated risks.

Passionate Discourse: Encourage and bring innovative, out-of-the-box ideas to discussions, actively contributing to team growth and progress.

Women and underrepresented groups frequently apply for jobs only if they meet 100% of the qualifications.

We encourage you to break that mold and apply. No candidate is perfect; all have a lot to offer. We welcome your application.

Our Stance

Belvedere is an Equal Opportunity Employer committed to a non-discriminatory workplace. We promote diversity and equal opportunity for all employees and applicants, fostering an inclusive environment where all team members are treated with respect, dignity, and courtesy. We value a dynamic culture where diverse backgrounds, experiences, and perspectives thrive.

Work Schedule: Regular and reliable attendance during business hours with the ability to be on-site prior to the start of business on occasion

Physical: Ability to remain at a desk and concentrate for long periods of time

Amount of Travel Required: None",eyJqb2JfdGl0bGUiOiJFeHBlcmllbmNlZCBRdWFudGl0YXRpdmUgVHJhZGVyIOKAkyBEZWx0YSBPbmUgU3RyYXRlZ2llcyIsImNvbXBhbnlfbmFtZSI6IkJlbHZlZGVyZSBUcmFkaW5nIiwiYWRkcmVzc19jaXR5IjoiQ2hpY2FnbywgSUwiLCJodGlkb2NpZCI6IjRfWVNVbWhYZUVGLThJVFhBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lXVG1WM0lGbHZjbXNzVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,20 days ago,,Full-time,2025-06-17 11:08:03.012352,Quantitative Trader,"New York, United States",
"Vice President, Quantitative Trader (APAC Coverage) (Boston)",BNY Mellon,United States,Adzuna,https://serpapi.com/searches/68512edfd868dde3b5579f68/images/9ff0a183fad9410e3c2406f19064d2fdb579513ead92e983df60a917b3f9f7d2.gif,"['1 day ago', 'Full-time', 'Health insurance']","Vice President, Quantitative Trader (APAC Coverage)Job Description

At BNY, our culture empowers you to grow and succeed. As a leading global financial services company at the center of the world’s financial system, we touch nearly 20% of the world’s investible assets. Every day around the globe, our 50,000+ employees bring the power of their perspective to the table to create solutions with our clients that benefit businesses, communities, and people everywhere.

We continue to be a leader in the industry, awarded as a top home for innovators and for creating an inclusive workplace. Through our unique ideas and talents, together we help make money work for the world. This is what #LifeAtBNY is all about.

We’re seeking a future team member for the role of Vice President, Quantitative Trader (APAC Coverage) to join our Buy Side Trading Solutions team. This role is located in Boston, MA - HYBRID.

In this role, you will make an impact in the following ways:
• Manage order flow on behalf of Index, Multi-Asset, and Beta portfolios covering a wide range of investment products, asset types, and geographies.
• Collaborate with traders across multiple locations to coordinate the execution of complex and sophisticated trades in an efficient, timely, and cost-effective manner; liaise with compliance and operations teams to ensure proper settlement.
• Work with Portfolio Managers, Trade Analytics, and Engineering teams to gain insights into trading outcomes and incorporate those insights into trade execution strategies that improve trading results.
• Maintain and develop strong relations with our internal clients, vendors, and counterparties to find ways to improve workflows, reduce operational complexity, and automate manual processes.

To be successful in this role, we’re seeking the following:
• Bachelor’s degree or the equivalent combination of education and experience is required, strong aptitude in Mathematics, Statistics, Computer Science, and a background in quantitative analysis preferred.
• FINRA Series 7 / 63 Licenses required, Series 3 preferred.
• 4+ years of work experience, preferably during live APAC/EU market hours; ability to operate autonomously, manage time pressure, and escalate issues appropriately.
• Experience with institutional trading of various asset classes, such as equities, fixed income, foreign exchange, and derivatives.
• Understanding of the regulatory and market structure nuances across APAC markets is preferred.
• Effective communicator with a team-first attitude; self-starter with ability and desire to pursue initiatives and projects independently.

At BNY, our culture speaks for itself. Here’s a few of our awards:
• America’s Most Innovative Companies, Fortune, 2024
• World’s Most Admired Companies, Fortune 2024
• Human Rights Campaign Foundation, Corporate Equality Index, 100% score, 2023-2024
• “Most Just Companies”, Just Capital and CNBC, 2024
• Dow Jones Sustainability Indices, Top performing company for Sustainability, 2024
• Bloomberg’s Gender Equality Index (GEI), 2023

Our Benefits and Rewards:

BNY offers highly competitive compensation, benefits, and wellbeing programs rooted in a strong culture of excellence and our pay-for-performance philosophy. We provide access to flexible global resources and tools for your life’s journey. Focus on your health, foster your personal resilience, and reach your financial goals as a valued member of our team, along with generous paid leaves, including paid volunteer time, that can support you and your family through moments that matter.

BNY is an Equal Employment Opportunity/Affirmative Action Employer - Underrepresented racial and ethnic groups/Females/Individuals with Disabilities/Protected Veterans.
About Us

For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute, or restructure investments & safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted, and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations, or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking, and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.
Job Info
• Job Identification 60517
• Job Category Trading
• Posting Date 12/05/2024, 03:50 PM
• Locations BNY Mellon Center, Boston, MA, 02108, US (Hybrid)

#J-18808-Ljbffr",eyJqb2JfdGl0bGUiOiJWaWNlIFByZXNpZGVudCwgUXVhbnRpdGF0aXZlIFRyYWRlciAoQVBBQyBDb3ZlcmFnZSkgKEJvc3RvbikiLCJjb21wYW55X25hbWUiOiJCTlkgTWVsbG9uIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiOENMcUszdk1Vdnh4Q0VwM0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,1 day ago,,Full-time,2025-06-17 11:08:03.012352,Quantitative Trader,"New York, United States",
Quant Trader,Acadian Asset Management,"Boston, MA",Simplify,https://serpapi.com/searches/68512ee15abea541384ebcfc/images/df8c75661e36c0a17cd65256d9c0cc7c1bf2c5c9f563cf18648a8d4cd114b9da.gif,"['10 days ago', 'Full-time']","Acadian Asset Management LLC is a Boston-headquartered investment management firm with wholly owned affiliates located in Singapore, London, and Sydney. As of March 31, 2025, the firm managed approximately US$121 billion on behalf of major pension funds, endowments, foundations, governments and other investors based in the U.S. and abroad.

Position Overview:

As a member of the Trading Desk, you will work directly with Quantitative Developers, Researchers, and the Systematic Credit Portfolio Managers. In addition to trading for Acadian’s credit portfolios, you will be researching, developing, deploying, and monitoring cutting edge pricing models and strategies. Acadian’s credit capabilities focus on credit long-short, high-yield, and investment-grade corporate bonds.

Acadian supports a hybrid work environment, employees are on-site in the Boston office 3 days a week.

What You’ll Do:
• Act as a facilitator for the placement of cash and synthetic trades for the suite of systematic strategies
• Contribute to research which improves the pricing model and execution methodology
• Gain in-depth knowledge of transaction cost models and aspects of portfolio construction in the furtherance of ongoing idea generation and process improvements
• Contribute to the development of the systematic order management framework/workflow, including execution management and transaction cost analysis

We’re Looking for Teammates With:
• A Bachelor’s degree in STEM, statistics, or mathematics
• 10+ years of work experience trading corporate bonds (domestic and international) and credit derivatives; experience trading other fixed income securities a plus
• Firm understanding of credit market structure and familiarity with a wide range of implementation strategies
• Experience with quantitative/systematic strategies within Credit Markets
• Strong Python programming
• Working expertise with OMS/EMS platforms (Charles River, TSImagine, MarketAxess, TradeWeb, etc)
• World-class analytical skills and the ability to clearly articulate the approach, process, and results in verbal, graphical and written form
• Willingness and ability to work in a collegial, results-oriented environment – must be a strong team player
• Interest in following financial markets and a strong quantitative orientation for investing
• Drive to deliver on high value projects and a roll up your sleeves attitude

Why Work Here:

Acadian is a quantitative investment firm where ideas are empowered by technology. Our team is made up of a diverse mix of professionals who thrive in a culture that fosters ingenuity through collaboration and transparency. We offer a casual office environment, top-notch benefits, and excellent professional and personal development opportunities.

To apply for this position or view Acadian’s open roles, please visit the Careers section of our website at: http://www.acadian-asset.com/careers/Job-opportunities. We will contact only selected candidates. If you are a candidate with a disability, or are assisting a candidate with a disability, and require an accommodation to apply for one of our jobs, please email us at recruiting@acadian-asset.com.

Acadian Asset Management LLC is committed to providing equal employment opportunity to all employees and applicants. No employee or applicant shall be discriminated against on the basis of gender, race, creed, color, sex, age, national origin, marital status, pregnancy or parenthood, veteran status, citizenship status, disability, gender identity, or sexual orientation.",eyJqb2JfdGl0bGUiOiJRdWFudCBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJBY2FkaWFuIEFzc2V0IE1hbmFnZW1lbnQiLCJhZGRyZXNzX2NpdHkiOiJCb3N0b24sIE1BIiwiaHRpZG9jaWQiOiJUVHBDeTdudktkRFNkYTlaQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,10 days ago,,Full-time,2025-06-17 11:08:03.305753,Quantitative Trader,"New York, United States",
Quantitative Analyst - SFG,"Susquehanna International Group, LLP (SIG)","Bala Cynwyd, PA",Susquehanna International Group,https://serpapi.com/searches/68512ee15abea541384ebcfc/images/df8c75661e36c0a1804131c39bb9e4dad8451d27b3cd32f585e1040be5b05db3.gif,"['1 day ago', 'Full-time', 'Health insurance']","Overview

We are seeking a highly analytical and collaborative Quantitative Analyst to support our Institutional Trading business. This role is ideal for a technically skilled individual with a strong understanding of derivatives markets, particularly options, and a passion for delivering actionable insights to internal stakeholders and clients.

What we are looking for:

Excel & Bloomberg Expertise:
• Enhance and maintain sophisticated Excel models that leverage Bloomberg data for real-time analysis.
• Develop innovative tools and dashboards to facilitate idea generation and improve client engagement.

Quantitative Research & Analysis:
• Drive the creation of Derivatives Strategy and Market Intelligence reports through meticulous quantitative research.
• Conduct comprehensive statistical and scenario-based analyses to support trading strategies and market insights.

Options Market Expertise:
• Examine volatility surfaces, skew, term structures, and other critical options metrics to inform trading decisions.
• Stay abreast of market trends and provide interpretations of options flows and positioning.

Strategy Development & Backtesting:
• Formulate and backtest options-based strategies using historical data to assess performance and risk.
• Analyze the feasibility and implementation of strategies to ensure optimal outcomes.

Collaborative Efforts:
• Partner with sales, trading, and strategy teams to address ad hoc requests and deliver timely, actionable insights.
• Adapt to changing priorities and contribute effectively across various projects and workstreams.

Effective Communication:
• Simplify complex quantitative findings into clear, actionable insights for diverse audiences.
• Prepare and present client-ready materials, and actively participate in client meetings.

Proactive Contribution:
• Monitor internal research and market developments to identify opportunities for quantitative input.
• Take initiative to support the broader team’s objectives and contribute beyond assigned tasks.

What we're looking for

Qualifications:
• Bachelor’s or Master’s degree in a quantitative field (e.g., Mathematics, Financial Engineering, Statistics, Physics, Computer Science).
• 3–6 years of experience in a quantitative role within a trading, strategy, or research environment.
• Solid understanding of options pricing, volatility modeling, and derivatives markets.
• Experience with backtesting frameworks and statistical analysis (Python, R, or MATLAB preferred).
• Strong proficiency in Excel (including VBA) and Bloomberg Terminal functions.
• Excellent communication skills and a client-oriented mindset.

What you can expect from us:

Real Impact: You’ll be designing and reviewing systems and processes that are essential to the expanding scope and long-term goals for Susquehanna’s business..

Collaboration: Our quantitative researchers, traders and technologists work together to create competitive edge through best-in-class modeling and technical solutions.

Growth: Continuous growth and learning, with a focus on innovation and adaptability in a dynamic trading environment and regulatory landscape.

Benefits: & software engineer experience at Susquehanna International Group from technologists like you.

About Susquehanna

Susquehanna is a global quantitative trading firm founded by a group of friends who share a passion for game theory and probabilistic thinking. We have incorporated this approach into our culture, where you will find relentless problem solvers within each of our core disciplines: Trading, Technology, and Quantitative Research. From offices around the world, our employees collaborate to make optimal decisions and are driven by the desire to achieve winning results together.

What we do

We are experts in trading essentially all listed financial products and asset classes, with a focus on derivatives trading. Through market making and market taking, we handle millions of trading transactions around the world every day, providing liquidity and ensuring competitive prices for buyers and sellers. While our presence in the market is broad, our trading desks are highly specialized, allowing for a deep understanding of unique drivers of each asset class.

The annual base pay range for this role is $100,000-$200,000 + discretionary bonus + benefits. Susquehanna considers factors such as scope and responsibilities of the position, work experience, education/training, key skills, as well as market and organizational considerations when extending an offer.

Susquehanna does not accept unsolicited resumes from recruiters or search firms. Any resume or referral submitted in the absence of a signed agreement will become the property of Susquehanna and no fee will be paid.

#LI-WD1",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgQW5hbHlzdCAtIFNGRyIsImNvbXBhbnlfbmFtZSI6IlN1c3F1ZWhhbm5hIEludGVybmF0aW9uYWwgR3JvdXAsIExMUCAoU0lHKSIsImFkZHJlc3NfY2l0eSI6IkJhbGEgQ3lud3lkLCBQQSIsImh0aWRvY2lkIjoiSTFNYnVOemRsMHdINW5RRUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,1 day ago,,Full-time,2025-06-17 11:08:03.305753,Quantitative Trader,"New York, United States",
Quantitative Researcher – Equities,IMC,"Chicago, IL",IMC Trading,,"['14 days ago', '175K–275K a year', 'Full-time', 'Health insurance', 'Paid time off']","IMC is looking for experienced quantitative researchers to develop high-frequency, low-latency equity trading strategies and predictive models. Candidates will join an effort of combining IMC’s extensive options expertise with signals in the underlying equity market. Candidates will be responsible for performing large scale data analysis to derive unique predictions of equity market behavior that will then be leveraged by IMC’s best-in-class technology to act on those predictions across both options and equities markets.

Once on board, candidates will join a growing team that will be essential to all aspects of IMC’s trading. They will contribute not only to signal generation but also work w/ developers in design and implementation of a robust framework that allows for new ideas to be researched, tested, and put into production in a timely manner.

Your Core Responsibilities:
• Understand the current suite of models and algorithms with the aim to make any short-term improvements. While building a foundation to further leverage these models
• Find innovative ways to monetize existing algorithms through specific deep-dives and broad data analysis
• Rapidly research, test, and prototype new algorithmic ideas, preferably with Python
• Once validated, see through the high quality implementation of ideas to full-scale production trading

Your Skills and Experience:
• 3+ years experience as a quantitative researcher with specific experience in the equity option or equities space
• Experience with equity signal generation and predictive modelling. [required]
• Relevant tertiary qualifications (graduate or post graduate), with strong academic results, preference in mathematics, science, financial engineering or computer science
• Experience working on a market making system, preferably in a more automated environment [preferred]

The Base Salary range for the role is included below. Base salary is only one component of total compensation; all full-time, permanent positions are eligible for a discretionary bonus and benefits, including paid leave and insurance. Please visit Benefits - US | IMC Trading for more comprehensive information.

Salary Range
$175,000—$275,000 USD

About Us

IMC is a global trading firm powered by a cutting-edge research environment and a world-class technology backbone. Since 1989, we’ve been a stabilizing force in financial markets, providing essential liquidity upon which market participants depend. Across our offices in the US, Europe, Asia Pacific, and India, our talented quant researchers, engineers, traders, and business operations professionals are united by our uniquely collaborative, high-performance culture, and our commitment to giving back. From entering dynamic new markets to embracing disruptive technologies, and from developing an innovative research environment to diversifying our trading strategies, we dare to continuously innovate and collaborate to succeed.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciDigJMgRXF1aXRpZXMiLCJjb21wYW55X25hbWUiOiJJTUMiLCJhZGRyZXNzX2NpdHkiOiJDaGljYWdvLCBJTCIsImh0aWRvY2lkIjoicXpyWXltRFNGSmRxd0lkUkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,14 days ago,175K–275K a year,Full-time,2025-06-17 11:08:03.305753,Quantitative Trader,"New York, United States",
Quantitative Systematic Trader,Sig,"Philadelphia, PA",Zippia,https://serpapi.com/searches/68512ee15abea541384ebcfc/images/df8c75661e36c0a1556910b8cbcc130a2ecc4d78828bf44747df22f19e16834e.gif,"['19 hours ago', 'Full-time']","**Overview:** We're seeking a talented Quantitative Systematic Trader to join our team, combining skills in quantitative research, trading, and technology to develop new electronic strategies and monitor real-time performance. **Responsibilities:**
• Investigate and develop new trading signals by immersing yourself in market data and leveraging tools in mathematics, statistics, and programming
• Run trading signals through our backtesting environment and analyze their performance
• Work with technologists to put successful trading signals into production and actively monitor their real-time performance in the financial markets
• Collaborate with other researchers, strategists, and traders to collect feedback, brainstorm new ideas, and evolve trading strategies
• Participate in a comprehensive orientation program, including education topics such as options pricing, proprietary data sets, and data analysis techniques
• *Qualifications:**
• PhD in a quantitative field such as Mathematics, Physics, Statistics, Electrical Engineering, Computer Science, Operations Research, or Economics
• Solid analytical problem-solving skills
• Excellent logical reasoning
• Strong communication skills in a fast-paced and/or highly collaborative environment
• Experience writing code to process and analyze large sets of data, especially in Python
• Experience in C++ or other low-level programming languages is a plus
• Demonstrated interest in strategic games and/or competitive activities
• Ability to thrive in a fast-paced environment
• *Benefits:** Visa sponsorship is available for this position, and our trading floor serves as an unlimited source of discussion for learning and development",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgU3lzdGVtYXRpYyBUcmFkZXIiLCJjb21wYW55X25hbWUiOiJTaWciLCJhZGRyZXNzX2NpdHkiOiJQaGlsYWRlbHBoaWEsIFBBIiwiaHRpZG9jaWQiOiJmR0dDZFFrRm1jOUw1eHRRQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJV1RtVjNJRmx2Y21zc1ZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,19 hours ago,,Full-time,2025-06-17 11:08:03.305753,Quantitative Trader,"New York, United States",
Quantitative Trader/Researcher - Systematic Options Trading,Optiver,"Chicago, IL",ZipRecruiter,,"['18 days ago', '175K a year', 'Full-time', 'Dental insurance', 'Health insurance', 'Paid time off']","Optiver is expanding its Systematic Options Trading Team and seeking exceptional Quantitative Researchers and Traders to drive its next phase of growth. You'll join a team at the forefront of designing and optimizing our automated systems that work autonomously or alongside our operational options traders. With significant resources, cutting-edge infrastructure, and a collaborative environment, you'll help shape the direction of our trading systems and execution models.

What you'll do
• Design, develop, and refine systematic trading strategies to optimize market reactions, order placement, and execution in order to maximize trading performance
• Utilize modelling, machine learning, and other techniques to gather insights from data in this pursuit

What you'll get

You'll join a culture of collaboration and excellence, surrounded by curious thinkers and creative problem-solvers. Motivated by a passion for continuous improvement, you'll thrive in a supportive, high-performing environment alongside talented colleagues, collectively tackling some of the toughest challenges in the financial markets.

In addition, you'll receive:
• The opportunity to work alongside best-in-class professionals from over 40 different countries
• A highly competitive compensation package
• Global profit-sharing pool and performance-based bonus structure
• 401(k) match up to 50%
• Comprehensive health, mental, dental, vision, disability, and life coverage
• 25 paid vacation days alongside market holidays
• Extensive office perks, including breakfast, lunch and snacks, regular social events, clubs, sporting leagues and more

Who you are
• 3+ years of index options experience focused on systematic trading
• BS, MS, or PhD in a quantitative or technical field
• Strong analytical and mathematical skills, with a track record of applying them to trading problems
• Proficient in programming (Python, C++, or similar)
• Collaborative team player with experience working across departments and partnering closely with development
• A self-starter who identifies opportunities to make an impact

Who we are:
At Optiver, our mission is to improve the market by injecting liquidity, providing accurate pricing, increasing transparency and stabilising the market no matter the conditions. With a focus on continuous improvement, we prioritise safeguarding the health and efficiency of the markets for all participants. As one of the largest market making institutions, we are a respected partner on 100+ exchanges across the globe.

Our differences are our edge. Optiver does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, physical or mental disability, or other legally protected characteristics.

Below is the expected base salary for this position. This is a good-faith estimate of the base pay scale for this position and offers will ultimately be determined based on experience, education, skill set, and performance in the interview process. This position will also be eligible for a discretionary bonus (if determined by Optiver) and Optiver's benefits package with the benefits listed above.

Base Salary Range

$175,000-$175,000 USD",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgVHJhZGVyL1Jlc2VhcmNoZXIgLSBTeXN0ZW1hdGljIE9wdGlvbnMgVHJhZGluZyIsImNvbXBhbnlfbmFtZSI6Ik9wdGl2ZXIiLCJhZGRyZXNzX2NpdHkiOiJDaGljYWdvLCBJTCIsImh0aWRvY2lkIjoiN1FuRjdNM2VMTkZXNEtfakFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,18 days ago,175K a year,Full-time,2025-06-17 11:08:03.305753,Quantitative Trader,"New York, United States",
Quantitative Researcher - Options,IMC,"Chicago, IL",IMC Trading,,"['14 days ago', '175K–275K a year', 'Full-time', 'Health insurance', 'Paid time off']","IMC Trading is seeking a Senior Quantitative Researcher to join the options quant team. You will join the team as a senior member with the expectation of leading projects and mentoring juniors. Skills and responsibilities listed below.

Your Core Responsibilities:
• Collaborate with the trading and quantitative research team to evaluate existing algorithms
• Combine knowledge of systems, mathematical techniques and trading to identify the best places to improve our trading system
• Rapidly research, test, and prototype new algorithmic ideas, preferably with Python.
• See through the high-quality implementation of ideas to full-scale production trading.
• Mentor graduate quantitative researchers

Your Skills and Experience:
• Ms or PhD in a highly quantitative field
• At least 5 years in financial services or a quantitative environment
• Experience in project or people management
• Strong programming skills, Python, Java or C++ preferred
• Proven success in quantitative modelling and algorithm development
• You have experience with options pricing

The Base Salary range for the role is included below. Base salary is only one component of total compensation; all full-time, permanent positions are eligible for a discretionary bonus and benefits, including paid leave and insurance. Please visit Benefits - US | IMC Trading for more comprehensive information.

Salary Range
$175,000—$275,000 USD

About Us

IMC is a global trading firm powered by a cutting-edge research environment and a world-class technology backbone. Since 1989, we’ve been a stabilizing force in financial markets, providing essential liquidity upon which market participants depend. Across our offices in the US, Europe, Asia Pacific, and India, our talented quant researchers, engineers, traders, and business operations professionals are united by our uniquely collaborative, high-performance culture, and our commitment to giving back. From entering dynamic new markets to embracing disruptive technologies, and from developing an innovative research environment to diversifying our trading strategies, we dare to continuously innovate and collaborate to succeed.",eyJqb2JfdGl0bGUiOiJRdWFudGl0YXRpdmUgUmVzZWFyY2hlciAtIE9wdGlvbnMiLCJjb21wYW55X25hbWUiOiJJTUMiLCJhZGRyZXNzX2NpdHkiOiJDaGljYWdvLCBJTCIsImh0aWRvY2lkIjoidmN4enVZSHRfQWF6TzBRc0FBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSVdUbVYzSUZsdmNtc3NWVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,14 days ago,175K–275K a year,Full-time,2025-06-17 11:08:03.305753,Quantitative Trader,"New York, United States",
